N,P,K,Soil_pH,Soil_Moisture,Soil_Type,Temperature,Humidity,Rainfall,Season,Irrigation_Type,Recommended_Crop
134,17,63,4.88,56.43,Silt,36.46,83.69,2101.48,Rabi,Canal,Rice
48,54,10,5.99,11.22,Silt,29.68,55.35,1103.77,Kharif,Canal,Tomato
78,43,10,6.19,41.55,Silt,33.14,85.09,928.18,Rabi,Rainfed,Potato
144,60,54,6.69,51.79,Clay,35.12,82.61,2210.28,Zaid,Drip,Rice
117,13,55,8.47,25.62,Sandy,16.78,54.91,1183.63,Zaid,Drip,Wheat
36,48,57,5.38,16.58,Loamy,22.06,85.31,896.86,Kharif,Rainfed,Barley
126,33,16,6,12.17,Loamy,23.08,67.96,1776.14,Rabi,Sprinkler,Rice
62,64,19,5.03,42.2,Clay,26.77,58.54,1937.08,Kharif,Canal,Rice
99,35,24,6.93,37.61,Sandy,11.48,61.84,2375.05,Zaid,Sprinkler,Wheat
27,34,49,7.41,21.46,Clay,27.65,33.8,314.6,Rabi,Rainfed,Millet
125,45,20,6.43,51.58,Silt,12.66,78.46,688.57,Zaid,Sprinkler,Wheat
27,80,65,5.48,46.78,Clay,34.2,47.55,2376.3,Rabi,Drip,Rice
115,83,55,6.98,23.82,Sandy,38.89,46.21,1689.24,Zaid,Sprinkler,Rice
113,67,54,6.66,47.67,Clay,18.69,72.92,2457.01,Zaid,Rainfed,Wheat
84,21,96,5.18,22.25,Sandy,25.2,52.25,1455.87,Kharif,Drip,Barley
58,10,22,6.12,43.76,Clay,34.7,60.85,1486.28,Kharif,Sprinkler,Millet
100,59,36,6.24,15.93,Sandy,19.44,55.29,1257.19,Kharif,Canal,Wheat
103,34,114,8.43,44.61,Loamy,14.73,60.28,2135.35,Zaid,Drip,Wheat
107,89,90,7.9,21.94,Silt,32.17,43.33,1852.58,Zaid,Rainfed,Rice
105,14,59,7.44,38.62,Sandy,30.95,83.1,1299.65,Kharif,Drip,Sugarcane
112,77,70,8.06,18.62,Clay,27.1,66.61,725.14,Zaid,Canal,Millet
105,15,22,7.44,46.3,Clay,38.33,44.02,206.71,Zaid,Canal,Millet
63,35,21,8.11,13.04,Silt,38.65,35.49,455.78,Kharif,Canal,Millet
156,64,38,4.72,18.27,Loamy,35.85,62.13,501.95,Rabi,Rainfed,Millet
93,48,94,6.32,19.21,Loamy,18.79,58.09,1794.28,Kharif,Drip,Wheat
55,18,93,7.49,12.07,Loamy,16.76,85.95,2325.75,Zaid,Rainfed,Wheat
120,54,29,6.83,47.25,Sandy,35.07,43.84,1479.26,Rabi,Canal,Sugarcane
123,23,40,5.2,59.05,Silt,29.54,82.9,1359.93,Rabi,Rainfed,Sugarcane
85,64,17,5.86,48.92,Sandy,21.88,75.99,569.91,Zaid,Sprinkler,Cotton
74,18,33,5.77,53.03,Sandy,22.29,58.59,2722.84,Kharif,Rainfed,Rice
110,24,84,5.55,10.3,Sandy,35.6,82.43,2258.56,Rabi,Canal,Rice
41,46,48,5.87,15.89,Sandy,14.9,81.71,1367.35,Kharif,Rainfed,Pulses
120,59,42,6.56,37.95,Clay,38.32,72.87,471.64,Rabi,Drip,Millet
140,81,51,7.92,58.89,Clay,29,36.09,2569.04,Rabi,Canal,Rice
112,30,24,7.47,43.04,Clay,33.74,39.61,674.97,Kharif,Rainfed,Millet
127,66,77,7.84,28.71,Sandy,21.13,65.5,2085.47,Zaid,Rainfed,Rice
29,28,74,8.03,17.31,Loamy,27.61,44.73,1150.9,Zaid,Drip,Tomato
28,67,41,6.16,17.64,Clay,32.5,63.07,2606.75,Rabi,Canal,Rice
53,15,20,5.88,28.14,Silt,23.05,63.65,1843.45,Rabi,Sprinkler,Rice
148,13,103,4.73,45.69,Clay,24.64,65.23,836.7,Rabi,Sprinkler,Barley
108,52,46,8.22,11.59,Sandy,27.46,64.19,235.46,Zaid,Drip,Millet
112,51,28,4.76,52.61,Sandy,11.9,52.76,794.6,Zaid,Drip,Millet
90,12,60,7.46,57.08,Sandy,35.9,42.61,1222.94,Kharif,Drip,Potato
86,10,109,6.01,54.44,Clay,36,61.11,2183.48,Kharif,Sprinkler,Rice
136,64,43,8.3,55.65,Loamy,18.44,59.71,805.11,Kharif,Sprinkler,Wheat
113,24,80,6.18,10.77,Sandy,36.39,46.51,932.21,Rabi,Rainfed,Wheat
118,56,69,7.77,58.89,Silt,32.36,33.07,1418.28,Rabi,Drip,Sugarcane
132,55,118,5.63,28.32,Sandy,24.5,42.33,320.18,Zaid,Canal,Cotton
122,67,93,5.7,53.46,Loamy,20.43,63.05,2351.52,Rabi,Canal,Rice
110,80,62,6.88,19.34,Loamy,21.98,62.14,420.51,Zaid,Rainfed,Pulses
109,48,21,8.49,32.33,Loamy,26.03,38.02,2263.65,Rabi,Rainfed,Rice
36,12,71,6.57,12.21,Sandy,22.38,66.36,950.29,Zaid,Sprinkler,Tomato
37,39,105,8.25,12,Silt,22.61,55.36,1487.81,Rabi,Sprinkler,Potato
135,44,75,7.64,57.16,Silt,16.09,69.22,1349.11,Rabi,Canal,Wheat
112,66,95,7.68,50.53,Sandy,31.23,83.28,909.13,Rabi,Sprinkler,Wheat
110,38,114,6.24,36.49,Clay,28.29,48.51,916,Kharif,Sprinkler,Potato
101,59,57,6.05,36.27,Clay,39.76,50.84,2857.34,Rabi,Rainfed,Rice
87,71,49,5.27,47.44,Silt,14.24,70.61,1055.32,Zaid,Drip,Tomato
133,61,33,8.36,27.08,Clay,13.41,86.95,712.66,Rabi,Canal,Wheat
20,23,59,8.34,48.09,Clay,25.48,59.17,901.38,Kharif,Rainfed,Millet
77,44,104,7.49,34.25,Silt,14.56,40.16,2146.56,Rabi,Rainfed,Wheat
128,37,77,5.69,41.9,Clay,28.32,86.1,1064.86,Kharif,Rainfed,Sugarcane
135,67,97,5.48,58.24,Clay,15.88,58.19,680.5,Rabi,Canal,Wheat
106,39,52,8.45,33.57,Sandy,24.49,57.64,1360.56,Zaid,Drip,Sugarcane
29,16,26,4.77,30.92,Clay,28.34,62.39,529.13,Kharif,Drip,Millet
78,48,113,7.87,55.29,Silt,23.74,45.15,1316.26,Kharif,Rainfed,Barley
60,78,92,5.92,55.13,Sandy,19.6,77.08,2614.22,Rabi,Sprinkler,Potato
124,44,113,6.18,59.62,Silt,33.47,68.46,1244.15,Rabi,Sprinkler,Sugarcane
152,61,111,7.83,37.54,Sandy,35.64,87.29,1639.59,Zaid,Rainfed,Rice
141,23,64,4.86,27.21,Silt,18.34,42.23,2409.59,Zaid,Drip,Sugarcane
41,72,43,5.92,22.02,Loamy,34.4,67.15,1644.73,Zaid,Rainfed,Rice
117,45,106,8.31,11.7,Sandy,21.75,61,332.69,Kharif,Canal,Cotton
87,33,79,7.3,46.34,Sandy,24.63,83.69,801.64,Kharif,Drip,Sugarcane
158,49,69,7.52,21.67,Sandy,16.95,31.82,2703.94,Zaid,Sprinkler,Wheat
75,38,60,7.53,40.33,Silt,28.77,75.65,2446.12,Kharif,Drip,Rice
118,62,109,4.74,55.83,Loamy,13.03,67.38,2329.87,Zaid,Canal,Sugarcane
95,31,86,5.31,57.51,Sandy,27.75,66.45,1732.92,Kharif,Canal,Rice
45,81,82,6.47,10.22,Loamy,39.69,82.52,1189.13,Rabi,Rainfed,Barley
134,24,44,5.97,25.85,Clay,32.6,65.39,2144.28,Kharif,Rainfed,Rice
128,78,43,6.14,51.87,Sandy,36.85,72.96,2057.38,Rabi,Canal,Rice
66,73,25,7.63,36.82,Clay,23.93,68.74,1999.73,Zaid,Rainfed,Rice
90,13,91,4.56,50.38,Sandy,14.26,34.17,1610.29,Kharif,Drip,Potato
59,84,27,7.14,52.67,Loamy,18.65,36.77,926.29,Zaid,Canal,Wheat
152,27,47,4.5,32.13,Clay,11.47,50.31,1419.21,Zaid,Canal,Sugarcane
151,51,52,4.75,27.95,Silt,25.05,70.54,1633.93,Rabi,Sprinkler,Rice
42,39,41,6.13,32.77,Sandy,29.49,31.59,804.82,Zaid,Drip,Wheat
125,24,16,7.86,42.64,Sandy,22.73,76.36,844.16,Zaid,Drip,Rice
103,79,96,5.08,28.36,Loamy,26.9,42.18,2417.16,Zaid,Rainfed,Rice
135,64,96,6.72,48.75,Silt,19.62,63.57,1095.37,Zaid,Sprinkler,Wheat
128,62,55,7.21,55.2,Sandy,12.58,42.07,2926.29,Zaid,Canal,Wheat
155,25,70,5.42,24.12,Clay,22.96,40.56,1421.91,Zaid,Drip,Sugarcane
60,82,27,6.55,58.25,Silt,26.43,50.05,1904.5,Kharif,Canal,Rice
131,43,80,8.15,41.14,Silt,39.48,85.29,1611.04,Zaid,Sprinkler,Rice
131,36,115,6.55,53.91,Loamy,20.42,44.27,1580.75,Rabi,Rainfed,Rice
122,22,49,5.13,15.2,Clay,30.33,32.91,2692.02,Zaid,Drip,Rice
65,36,97,7.01,22.57,Clay,34.68,82.93,460.45,Rabi,Canal,Millet
87,82,87,6.87,26.05,Sandy,20.06,56.34,1168.06,Rabi,Canal,Wheat
141,78,59,4.61,25.14,Sandy,37.9,67.26,1000.83,Rabi,Canal,Sugarcane
34,40,14,4.86,18.59,Silt,20.16,83.15,1112.81,Zaid,Sprinkler,Tomato
148,12,119,5.13,53.41,Silt,39.09,75.34,2755.25,Kharif,Rainfed,Rice
130,39,63,5.05,30.93,Loamy,10.06,77.79,395.69,Zaid,Canal,Pulses
43,30,95,5.54,58.16,Silt,29.03,58.81,993.48,Kharif,Canal,Barley
46,15,67,6.32,39.17,Loamy,33.7,71.24,2265.51,Zaid,Canal,Rice
59,41,31,5.99,16.92,Loamy,18.4,87.83,868.5,Rabi,Canal,Barley
43,51,83,8.06,37.3,Clay,13.51,83.39,2532.72,Zaid,Rainfed,Wheat
43,71,99,6.95,59.68,Clay,10.73,66.75,1123.77,Rabi,Drip,Wheat
23,41,88,8,38.26,Silt,12.23,35.12,516.94,Kharif,Drip,Wheat
86,48,47,6.61,10.09,Silt,26.29,88.78,1653.8,Zaid,Drip,Rice
53,73,114,4.86,56.65,Clay,35.18,43.53,1631.74,Kharif,Sprinkler,Rice
135,39,115,6.35,21.74,Silt,11.89,51.65,309.57,Zaid,Canal,Wheat
42,72,58,7.79,44.43,Clay,13.4,38.42,2210.15,Rabi,Canal,Wheat
128,40,10,5.28,35.75,Sandy,10.15,40,596.88,Rabi,Canal,Cotton
88,49,87,4.86,26.27,Silt,18.47,77.75,797.61,Zaid,Drip,Millet
114,42,45,5.82,24.13,Loamy,37.64,37.7,1774.95,Kharif,Canal,Rice
81,72,104,6.06,56.44,Sandy,18.29,41.36,2694.19,Kharif,Drip,Wheat
76,34,37,5.73,55.6,Sandy,23.22,40.29,257.75,Rabi,Rainfed,Cotton
73,45,107,5.04,35.66,Silt,15.37,52.21,2503.69,Kharif,Drip,Maize
89,33,44,5.5,22.92,Clay,13.49,71.68,2311.61,Rabi,Sprinkler,Wheat
120,67,69,7.23,15.12,Loamy,15.47,68.63,652.74,Zaid,Drip,Wheat
76,48,112,6.04,17.83,Clay,16.31,73.48,1244.53,Rabi,Drip,Wheat
157,55,71,7.03,36.11,Silt,13.91,73.61,2736.72,Zaid,Canal,Wheat
154,86,96,6.65,25.39,Clay,33.75,30.18,609.88,Zaid,Drip,Millet
122,19,55,6.7,12.1,Silt,24.32,71.07,511.81,Kharif,Drip,Sugarcane
104,41,117,5.49,32.76,Silt,26.19,71.07,2258.6,Kharif,Canal,Rice
80,45,92,6.59,47.31,Loamy,21.24,33.73,1518.56,Zaid,Rainfed,Rice
22,37,91,4.59,54.58,Silt,16.32,55.63,995.54,Zaid,Sprinkler,Millet
147,25,88,6.23,39.26,Loamy,12.82,34.72,681.22,Rabi,Drip,Wheat
105,25,70,6.79,46.16,Sandy,12.28,41.45,2222.22,Rabi,Sprinkler,Wheat
66,27,74,5.23,28.2,Clay,15.55,59.39,1430.61,Zaid,Drip,Millet
95,17,98,5.53,34.81,Silt,35.51,30.72,870.33,Kharif,Canal,Rice
57,89,35,5.38,46.48,Clay,16.5,35.7,2841.48,Kharif,Sprinkler,Rice
106,84,44,4.78,46.38,Clay,20.64,35.1,1770.98,Rabi,Rainfed,Rice
77,79,66,5.89,31.23,Loamy,27.18,37.47,1189.04,Zaid,Drip,Millet
69,10,88,8.42,37.18,Clay,25.34,32.99,2215.04,Rabi,Drip,Rice
49,71,72,5.92,56.19,Clay,29.97,66.72,1590,Kharif,Drip,Rice
120,85,13,6.34,41.6,Clay,15.83,40.72,226.37,Rabi,Rainfed,Wheat
44,47,88,7.11,42.13,Silt,25.72,81.76,2553.77,Rabi,Canal,Rice
131,54,51,7.09,49.23,Clay,33.03,83.09,385.77,Kharif,Drip,Millet
145,67,111,8.3,15.76,Sandy,21.63,71.46,2970.19,Kharif,Drip,Rice
142,10,54,7.93,36.14,Loamy,39.16,33.9,1179.26,Kharif,Canal,Sugarcane
66,41,48,7.68,57.97,Sandy,27.34,83.5,1669.55,Zaid,Rainfed,Rice
137,17,74,8.31,28.08,Loamy,30.24,55.12,2998.72,Zaid,Rainfed,Rice
58,49,31,5.42,24.75,Clay,23.77,40.87,953.77,Rabi,Canal,Wheat
35,65,20,6.97,40.06,Loamy,35.74,76.73,1495.48,Rabi,Drip,Barley
41,72,119,8.05,21.06,Silt,23.54,50.8,2313.7,Rabi,Drip,Rice
73,83,111,7,37.8,Silt,38.27,60.36,1507.56,Rabi,Rainfed,Rice
35,83,46,8.41,17.78,Sandy,19.22,74.58,1134.7,Zaid,Rainfed,Wheat
78,45,99,4.9,38.99,Silt,35.97,36.07,537.76,Rabi,Sprinkler,Millet
50,66,60,6.26,40.12,Clay,29.18,40.17,1636.55,Rabi,Drip,Rice
51,83,100,8.41,30.92,Sandy,33.97,88.11,1744.89,Kharif,Canal,Rice
28,54,67,6.02,29.14,Sandy,11.13,72.81,851.9,Zaid,Rainfed,Wheat
158,88,86,7.46,22.27,Sandy,18.32,43.87,1134.9,Rabi,Rainfed,Wheat
29,89,16,4.62,26.55,Silt,35.41,64.43,1036.14,Kharif,Canal,Pulses
36,11,17,7.28,34.92,Loamy,19.55,41.28,1396.63,Zaid,Rainfed,Wheat
87,77,119,8.24,22.38,Silt,31.38,81.93,2435.07,Kharif,Drip,Rice
67,59,60,6.03,49.14,Sandy,39.77,56.92,1131.21,Kharif,Rainfed,Potato
130,38,32,4.59,45.45,Loamy,15.32,78.41,962.86,Zaid,Sprinkler,Barley
142,19,99,4.61,23.47,Sandy,22.53,88.31,2551.58,Kharif,Sprinkler,Rice
120,36,117,8.07,14.87,Sandy,14.95,88.85,2471.04,Rabi,Rainfed,Wheat
121,24,100,7.39,10.01,Loamy,14.63,38.26,2421.23,Kharif,Drip,Wheat
84,69,18,4.93,39.84,Loamy,28.99,86.69,2279.74,Zaid,Canal,Rice
70,40,55,4.72,20.57,Sandy,15.74,46.22,2688.41,Zaid,Sprinkler,Tomato
55,30,47,7.72,10.63,Sandy,24.48,51.58,2197.03,Zaid,Drip,Rice
100,69,22,7.74,27.95,Silt,39.34,33.78,674.32,Zaid,Rainfed,Millet
146,67,16,4.98,58.1,Silt,19.99,68.74,292.33,Rabi,Sprinkler,Potato
107,50,20,5.71,44.5,Silt,36.21,68.65,709.22,Kharif,Canal,Millet
123,55,83,7.62,52.89,Clay,21.89,76.62,1220.99,Rabi,Drip,Sugarcane
34,54,106,6.6,17.24,Sandy,17.89,86.78,348.22,Kharif,Drip,Wheat
115,35,112,8.33,13.66,Silt,20.09,55.69,2319.6,Zaid,Rainfed,Rice
142,60,59,6.42,10.58,Sandy,13.83,54.45,1995.67,Kharif,Drip,Wheat
20,45,76,7.21,57.78,Clay,30.37,68.35,2210.39,Rabi,Drip,Rice
141,61,50,6.54,25.01,Silt,25.27,70.04,468.21,Rabi,Canal,Millet
145,60,38,8.27,32.98,Silt,28.41,56.71,1120.56,Rabi,Rainfed,Sugarcane
76,12,46,6.09,29.73,Sandy,19.09,85.16,1486.35,Kharif,Sprinkler,Wheat
100,23,65,5.42,46.52,Sandy,29.6,33.13,1887.26,Rabi,Canal,Rice
92,58,118,5.81,25.5,Loamy,14.94,75.38,2447.76,Rabi,Sprinkler,Wheat
89,86,89,7.91,36.77,Loamy,29.57,42.48,2935.42,Kharif,Sprinkler,Rice
25,10,25,6.49,59.78,Silt,12.43,59.72,430.17,Rabi,Drip,Wheat
103,66,53,5.92,32.2,Loamy,22.01,81.09,1996.6,Kharif,Rainfed,Rice
71,26,59,6.68,37.56,Silt,28.29,49.78,577.6,Rabi,Sprinkler,Millet
22,59,116,5.03,35.13,Sandy,35.66,83.98,1039.64,Zaid,Drip,Millet
100,23,80,4.52,50.16,Loamy,34.37,57.04,2361.73,Kharif,Rainfed,Rice
82,68,88,5.62,23.34,Silt,25.81,72.17,2983.48,Rabi,Drip,Rice
68,12,111,6.92,18.52,Sandy,36.5,73.36,1674.14,Zaid,Rainfed,Rice
95,49,15,7.35,47.7,Silt,25.18,45.65,1188.73,Kharif,Rainfed,Potato
131,75,27,7.81,30.78,Clay,25.52,84.04,799.47,Rabi,Drip,Millet
128,43,28,8.21,55.69,Loamy,31.62,37.48,2391.09,Kharif,Drip,Rice
84,18,60,6.15,42.21,Clay,36.33,65.4,2730.41,Zaid,Sprinkler,Rice
100,30,75,7.46,38.22,Sandy,28.08,85.74,2576.02,Rabi,Rainfed,Rice
34,34,12,4.8,13.52,Silt,38.33,31.86,1627.14,Kharif,Rainfed,Rice
119,53,119,4.73,46.52,Silt,16.98,61.88,1849.66,Rabi,Sprinkler,Sugarcane
51,34,98,5,44.3,Sandy,37.73,44.79,2542.54,Zaid,Rainfed,Rice
115,18,109,6.29,42,Clay,16.65,41.55,2800.79,Kharif,Rainfed,Wheat
147,71,63,5.35,23.4,Silt,25.79,44.03,2829.22,Zaid,Canal,Rice
132,35,58,5.65,57.34,Clay,33.88,84.16,2131.38,Rabi,Canal,Rice
102,66,37,7.09,26.08,Clay,34.05,55.53,736.71,Zaid,Sprinkler,Millet
62,46,47,5.93,17.61,Clay,18.34,44.15,1076.37,Zaid,Drip,Barley
135,25,37,6.73,59.36,Loamy,39.58,85.65,945.43,Kharif,Drip,Wheat
97,46,41,6.15,47.31,Clay,12.42,49.3,685.73,Kharif,Drip,Wheat
77,85,50,5.18,30.74,Loamy,11.04,73.41,902.13,Rabi,Sprinkler,Barley
52,33,45,4.8,56.8,Clay,35.25,62.23,2635.64,Zaid,Sprinkler,Rice
33,35,112,5.44,14.56,Clay,34.57,70.75,2356.94,Zaid,Rainfed,Rice
151,29,45,4.73,14.38,Loamy,31.38,40.96,322.46,Kharif,Sprinkler,Millet
78,18,116,6.97,44.12,Silt,35.52,70.71,613.57,Kharif,Rainfed,Millet
102,38,96,7.68,18.9,Silt,14.13,84.35,2957.51,Rabi,Sprinkler,Wheat
153,40,75,5.86,55.86,Sandy,12.87,36.05,832.72,Zaid,Drip,Pulses
140,28,19,6.05,52.02,Sandy,39.08,49.59,1976.3,Zaid,Canal,Rice
102,29,79,7.76,25.32,Silt,28.73,88.36,775.57,Kharif,Sprinkler,Millet
46,36,81,5.39,54.44,Sandy,37.6,43.51,854.28,Zaid,Sprinkler,Pulses
99,53,88,4.98,12.14,Silt,37.19,33.57,1595.86,Zaid,Canal,Rice
153,44,118,6.5,37.43,Sandy,29.59,33.3,1565.46,Rabi,Sprinkler,Rice
32,80,102,7.08,56.78,Silt,28.85,46.52,2009.28,Kharif,Rainfed,Rice
83,31,72,6.9,52.77,Loamy,20.8,59.69,670.97,Kharif,Drip,Potato
99,83,101,7.36,27.8,Sandy,14.47,46.13,935.6,Kharif,Drip,Wheat
142,24,31,4.73,19.14,Loamy,30.6,46.85,1947.61,Kharif,Rainfed,Rice
62,22,107,6.21,20.53,Loamy,34.54,79.89,472.73,Rabi,Canal,Millet
108,13,29,5.45,35.73,Loamy,26.34,76.02,2746.11,Rabi,Canal,Rice
114,65,42,7.54,39.84,Loamy,11.53,48.65,700.64,Zaid,Drip,Wheat
21,32,24,7.99,11.64,Loamy,14.35,50.69,1427.51,Rabi,Canal,Wheat
139,43,16,5.63,30.68,Clay,13.06,88.18,504.22,Rabi,Drip,Wheat
41,26,97,4.88,51.52,Loamy,29.73,87.01,2117.54,Kharif,Rainfed,Rice
134,37,99,5.51,32.22,Sandy,26.94,88.39,1115.38,Zaid,Canal,Sugarcane
76,23,59,4.92,18.46,Loamy,24,86.35,406.19,Kharif,Rainfed,Cotton
91,43,19,5.79,57.74,Sandy,26.3,67.69,1859.38,Kharif,Canal,Rice
26,84,88,6.65,23.31,Loamy,18.28,48.5,2945.87,Rabi,Rainfed,Wheat
138,66,46,8.39,49.92,Sandy,34.14,88.17,2638.49,Zaid,Sprinkler,Rice
133,86,68,6.1,19.69,Loamy,19.86,74.57,2168.1,Zaid,Drip,Wheat
35,64,97,5.38,31.16,Silt,29.33,72.67,235.42,Rabi,Drip,Millet
102,75,84,5.17,34.52,Clay,21.73,77.86,2607.62,Kharif,Canal,Rice
91,46,113,5.19,35.03,Sandy,12.16,65.91,2710.85,Kharif,Canal,Tomato
143,77,72,5.27,35.82,Sandy,17.71,65,306.39,Rabi,Rainfed,Cotton
132,85,30,7.55,21.25,Loamy,38.95,51.68,542.68,Zaid,Rainfed,Millet
31,35,113,4.74,35.8,Sandy,15.72,39.04,1464.1,Zaid,Drip,Cotton
145,70,111,8.49,34.09,Loamy,13.15,56.31,1325.78,Rabi,Rainfed,Wheat
72,76,88,6.59,20.44,Clay,18.73,61.04,1024.38,Kharif,Canal,Wheat
94,83,88,6.68,59.41,Silt,36.34,82.67,754.17,Rabi,Canal,Millet
152,61,46,5.93,53.28,Silt,19.18,54.1,1737.5,Zaid,Canal,Sugarcane
46,27,54,7.26,54.38,Clay,22.52,82.98,2359.7,Zaid,Sprinkler,Rice
159,62,23,6.39,44.28,Loamy,19.3,49.05,2823.71,Zaid,Canal,Wheat
153,72,52,5.82,17.99,Loamy,39.67,86.68,1043.08,Zaid,Rainfed,Sugarcane
116,62,94,5.56,38.4,Clay,40,32.34,2169.05,Rabi,Canal,Rice
24,36,117,8.2,51.07,Sandy,24.48,61.52,2406.93,Kharif,Canal,Rice
76,40,93,5.66,11.94,Sandy,33.54,49.3,1538.29,Rabi,Drip,Rice
97,10,42,6.25,34.79,Sandy,16.6,47.66,2779.07,Rabi,Sprinkler,Wheat
88,15,12,5.9,29.81,Clay,21.23,34.76,264.34,Kharif,Rainfed,Cotton
137,20,113,4.84,20.61,Silt,30.38,70.88,2721.35,Zaid,Canal,Rice
139,43,96,5.24,28.91,Silt,18.59,53.55,2699.01,Kharif,Canal,Sugarcane
78,72,53,5.26,59.17,Silt,16.74,86.94,583.6,Zaid,Rainfed,Barley
52,62,96,7.27,46.16,Loamy,37.67,72.75,1430.38,Zaid,Drip,Pulses
81,27,100,6.13,24.98,Clay,17.33,56.57,1644.41,Rabi,Rainfed,Wheat
69,30,44,7.63,40.27,Sandy,11.78,67.64,1325.53,Kharif,Rainfed,Wheat
131,28,34,7.34,22.33,Silt,32.53,33.96,2707.56,Rabi,Sprinkler,Rice
38,13,105,5.27,40.54,Silt,17.3,65.35,2196.36,Kharif,Drip,Potato
142,86,95,6.75,54.81,Silt,23.51,69.97,545.8,Kharif,Canal,Potato
66,38,17,7.47,37.84,Loamy,13.35,36.37,2794.22,Rabi,Rainfed,Wheat
52,34,71,7.03,46.67,Loamy,12.06,70.95,329.28,Kharif,Sprinkler,Wheat
103,65,111,6.9,32.67,Sandy,23.81,58.44,1867.87,Kharif,Sprinkler,Rice
154,86,27,7.46,36.21,Silt,20.11,58.78,1663.53,Kharif,Canal,Rice
98,72,101,4.73,44.75,Silt,25.18,73.41,402.74,Kharif,Drip,Millet
33,36,37,7.43,50.62,Silt,38.97,56.99,2148.36,Kharif,Canal,Rice
147,69,84,5.59,42.97,Loamy,22.22,44.06,2895.18,Rabi,Sprinkler,Rice
73,58,21,6.79,58.87,Sandy,28.08,47.9,1483.65,Kharif,Sprinkler,Millet
48,74,73,5.47,50.99,Clay,12.93,74.3,1638.92,Kharif,Sprinkler,Sugarcane
43,47,11,7.86,48.86,Loamy,36.58,34.26,1274.87,Rabi,Sprinkler,Wheat
101,61,68,6.42,52.26,Silt,34.18,80.45,2650.6,Rabi,Rainfed,Rice
82,10,46,7.07,24.06,Sandy,25.67,64.93,2797.83,Rabi,Drip,Rice
124,49,13,7.68,31.6,Sandy,15.5,73.62,1311.84,Kharif,Canal,Wheat
76,30,50,8.08,38.22,Clay,22.78,50.62,2694.45,Rabi,Canal,Rice
155,24,54,7.43,33.12,Silt,18.92,43.36,772.24,Kharif,Canal,Wheat
81,59,118,5.1,52.37,Loamy,39.84,78.27,1482.06,Zaid,Rainfed,Pulses
36,57,43,7.92,11.35,Loamy,24.73,36.13,905.37,Kharif,Canal,Cotton
85,41,96,6.97,20.46,Loamy,22.67,39.95,826.93,Rabi,Drip,Potato
25,58,22,6.94,54.09,Silt,15.07,47.1,2599.6,Rabi,Rainfed,Wheat
77,77,16,8.19,12.96,Silt,17.17,51.07,2199.84,Rabi,Drip,Wheat
88,54,41,5.5,21.35,Silt,31.35,42.22,387.35,Rabi,Sprinkler,Millet
81,41,32,5.46,27.56,Loamy,26.05,84.76,2320.76,Zaid,Drip,Rice
101,13,58,6.55,47.54,Silt,20.74,31.63,1804.2,Zaid,Drip,Rice
90,74,81,7.5,38.01,Silt,18.91,78.21,2403.52,Rabi,Rainfed,Wheat
150,80,56,6.29,57.73,Silt,16.02,54.66,1861.33,Rabi,Rainfed,Wheat
29,82,46,7.04,21.39,Clay,11.02,80.17,1256.73,Rabi,Drip,Wheat
117,74,107,6.31,53.61,Clay,39.31,77.76,1585.94,Zaid,Drip,Rice
108,89,57,6.94,24.15,Silt,32.59,37.26,596.55,Zaid,Rainfed,Millet
54,27,38,7.79,22.27,Silt,37.84,69.98,1069.7,Kharif,Canal,Maize
21,63,46,5.22,34.92,Loamy,22.38,52.71,262.53,Rabi,Canal,Potato
143,56,32,7.28,13.56,Sandy,36.08,79.26,1337.44,Kharif,Sprinkler,Sugarcane
43,15,47,7.65,29.22,Silt,17.69,81.06,455.47,Rabi,Drip,Wheat
93,75,102,6.29,27.78,Loamy,25.3,41.34,2049.73,Kharif,Sprinkler,Rice
41,18,53,5.79,18.01,Loamy,16.07,58.72,2755.12,Zaid,Canal,Cotton
58,77,14,4.55,53.04,Sandy,33.11,65.66,2273.89,Zaid,Canal,Rice
39,32,61,7.69,29.29,Loamy,24.93,62.64,780.81,Zaid,Drip,Sugarcane
60,52,49,5.81,59.1,Sandy,26.09,45.11,1619.83,Rabi,Canal,Rice
127,60,20,5.93,54.99,Silt,35.78,46.35,2193.51,Rabi,Sprinkler,Rice
103,81,87,5.84,19.74,Clay,32.18,81.49,2455.95,Zaid,Rainfed,Rice
130,34,115,6.49,35.26,Sandy,38.99,31.96,992.43,Zaid,Sprinkler,Barley
85,89,11,7.31,40.09,Silt,22.16,45.74,1535.82,Zaid,Drip,Rice
72,44,44,7.59,50.95,Silt,23.84,43.38,492.15,Zaid,Drip,Wheat
53,26,54,6.07,54.28,Clay,28.46,52.24,2233.81,Kharif,Canal,Rice
86,27,58,7.15,41.2,Loamy,23.6,71.17,1417.27,Rabi,Canal,Wheat
153,36,44,7.38,11.76,Sandy,22.59,61.94,316.74,Zaid,Rainfed,Cotton
46,24,115,5.69,34.06,Sandy,20.22,62.44,1682.38,Kharif,Rainfed,Rice
29,78,101,4.89,54.24,Loamy,34.96,73.88,2415.89,Zaid,Sprinkler,Rice
92,89,81,8.08,45.7,Clay,26,78.73,324.42,Zaid,Rainfed,Millet
115,24,41,7.21,53.51,Sandy,28.22,39.59,1329.31,Rabi,Sprinkler,Sugarcane
67,51,77,7.09,43.7,Sandy,16.12,36.48,1549.23,Kharif,Canal,Wheat
